apiurl,domain,family,title,required_params,optional_params,response_field_count
"/bond/etc/bondbasket","bond","etc","채권현금흐름","cust_id, auth_key, jcode","","5"
"/bond/etc/bondbasket_hist","bond","etc","채권현금흐름","cust_id, auth_key, jcode, sdate, edate","","5"
"/bond/etc/cdcp_hist","bond","etc","CD/CP시가평가 일별","cust_id, auth_key, jcode, sdate, edate","","8"
"/bond/m020/tick_info","bond","m020","장외호가정보(종목별)","cust_id, auth_key, jcode","data_list","24"
"/bond/m020/tick_total_info","bond","m020","장외호가정보(전체)","cust_id, auth_key","F14729, data_list, -","24"
"/bond/m023/basic_info","bond","m023","기본정보","cust_id, auth_key, jcode","","20"
"/bond/m023/code_info","bond","m023","코드정보","cust_id, auth_key","","2"
"/bond/m023/hist_info","bond","m023","일별정보","cust_id, auth_key, jcode, sdate, edate","","18"
"/bond/m023/term_hist_info","bond","m023","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","17"
"/bond/m025/basic_info","bond","m025","기본정보","cust_id, auth_key, jcode","","8"
"/bond/m025/code_info","bond","m025","코드정보","cust_id, auth_key","","4"
"/bond/m025/hist_info","bond","m025","일별정보","cust_id, auth_key, jcode, sdate, edate","","12"
"/bond/m026/basic_info","bond","m026","기본정보","cust_id, auth_key, jcode","","13"
"/bond/m026/code_info","bond","m026","코드정보","cust_id, auth_key","","2"
"/bond/m026/hist_info","bond","m026","일별정보","cust_id, auth_key, jcode, sdate, edate","","14"
"/bond/m026/term_hist_info","bond","m026","일별정보","cust_id, auth_key, jcode, term, sdate, edate","","13"
"/bond/m037/basic_info","bond","m037","기본정보","cust_id, auth_key, jcode","","8"
"/bond/m037/basic_info_port","bond","m037","기본정보(복수종목)","cust_id, auth_key, codelist","","8"
"/bond/m037/code_info","bond","m037","코드정보","cust_id, auth_key","","5"
"/bond/m037/hist_info","bond","m037","일별정보","cust_id, auth_key, jcode, sdate, edate","","4"
"/bond/m038/basic_info","bond","m038","기본정보","cust_id, auth_key, jcode","data_list","132"
"/bond/m038/code_info","bond","m038","코드정보","cust_id, auth_key","data_list","4"
"/bond/m038/hist_info","bond","m038","일별정보","cust_id, auth_key, jcode, sdate, edate","data_list","24"
"/bond/m038/tick_info","bond","m038","체결정보(장내체결+장외15분 체결)","cust_id, auth_key, jcode","data_list","16"
