name,type,description,detail
"","ETV","Exchange-Traded Products",""
"AC_FS_YYMM","NUMERIC(6)","회계년도(년월)",""
"AC_MAIN_PRODUCT","VARCHAR(50)","주요제품",""
"AC_SALES_RATIO","NUMERIC(6,2)","매출액구성비",""
"AC_SEQ","NUMERIC(5)","일련번호",""
"AD_COMP_NAME","VARCHAR(50)","회사명",""
"AD_FS_YYMM","NUMERIC(6)","회계년도(년월)",""
"AD_OCCU_RATIO","NUMERIC(5,2)","점유율(%)",""
"AD_PROD_NAME","VARCHAR(50)","제품명",""
"AD_SEQ","NUMERIC(5)","일련번호",""
"ADDR","VARCHAR(150)","주소",""
"AMT","NUMERIC(20)","체결액",""
"ASSET_ISIN_CODE","CHAR(12)","기초자산코드",""
"ASSET_KIND","VARCHAR(11)","대상자산종류",""
"AUDITOR","VARCHAR(30)","외부감사인",""
"AVG_RATE","NUMERIC(19,3)","평균금리",""
"BANK","VARCHAR(50)","주거래은행",""
"BANK_DEMAND_DEPOSIT","INT","(은행)요구불예금",""
"BANK_SAVINGS_DEPOSIT","INT","(은행)저축성예금",""
"BANKCD_ISSUE","INT","(은행)CD순발행",""
"BB_COMM","NUMERIC(19)","보통주주식수(주)",""
"BB_COMMRATE","NUMERIC(5,2)","보통주비율(%)",""
"BB_FS_YYMM","NUMERIC(6)","회계년도(년월)",""
"BB_GUBN","CHAR(2)","주주구분","(10:대주주1일초계,20:대주주1인과특수관계인,30:5%이상주요주주,40:기타주주)"
"BB_NAME","VARCHAR(60)","성명",""
"BB_PREF","NUMERIC(19)","우선주주식수(주)",""
"BB_PREF_RATE","NUMERIC(5,2)","우선주비율(%)",""
"BB_RELATION","VARCHAR(60)","대주주1인과특수관계",""
"BB_SEQ","NUMERIC(8)","일련번호",""
"BIGCD","CHAR(1)","대분류코드","1:뉴스 / 2: 공시"
"BIZ_REG_NO","VARCHAR(13)","사업자등록번호",""
"BODY","VARCHAR(132)","본문",""
"BONCD","CHAR(1)","본문분류코드",""
"BRK_CODE","INT","회원사코드",""
"BRKBUYAMT","INT(18)","위탁매수거래대금",""
"BRKBUYVOL","INT(18)","위탁매수거래량",""
"BRKCODE","INT","회원사코드",""
"BRKNAMEE","CHAR(60)","영문회원사약명",""
"BRKSELLAMT","INT(18)","위탁매도거래대금",""
"BRKSELLVOL","INT(18)","위탁매도거래량",""
"CEO","VARCHAR(50)","대표이사",""
"CF","NUMERIC(32,20)","지급현금흐름",""
"CHECK_CODE","VARCHAR(100)","CHECK 코드",""
"CLASS1","VARCHAR(100)","대분류",""
"CLASS2","VARCHAR(100)","중분류",""
"CLASS3","VARCHAR(100)","소분류",""
"CLASS4","VARCHAR(100)","세분류",""
"CLASSA","VARCHAR(100)","최초분류",""
"CLASSN","VARCHAR(100)","국가",""
"CMP_CD","CHAR(6)","기업코드",""
"CMP_FUL_NM_ENG","VARCHAR(200)","영문명",""
"CMP_FUL_NM_KOR","VARCHAR(200)","한글명",""
